      QW_SEQ          OBS     CENSORED      MODELED
        5137     0.090000        False     0.090000
        4577     0.126000        False     0.126000
        4573     0.180000         True     0.048502
        4589     0.196000        False     0.196000
        4583     0.197000        False     0.197000
        3767     0.200000        False     0.200000
        2839     0.205568        False     0.205568
        3531     0.210000        False     0.210000
        3536     0.210000        False     0.210000
        3542     0.210000        False     0.210000
        5128     0.210000        False     0.210000
        3999     0.213000        False     0.213000
        3490     0.222000        False     0.222000
        4778     0.227000        False     0.227000
        3492     0.229000        False     0.229000
        3533     0.230000        False     0.230000
        3541     0.230000        False     0.230000
        5126     0.230000        False     0.230000
        4585     0.232000        False     0.232000
        3480     0.235000        False     0.235000
        3491     0.237000        False     0.237000
        3493     0.237000        False     0.237000
        3494     0.238000        False     0.238000
        3535     0.240000        False     0.240000
        3537     0.240000        False     0.240000
        3538     0.240000        False     0.240000
        3501     0.241000        False     0.241000
        3497     0.242000        False     0.242000
        3502     0.245000        False     0.245000
        3543     0.245000        False     0.245000
        3496     0.248000        False     0.248000
        3483     0.250000        False     0.250000
        3534     0.250000        False     0.250000
        4779     0.250000        False     0.250000
        3479     0.257000        False     0.257000
        3482     0.260000        False     0.260000
        3540     0.260000        False     0.260000
        4781     0.260000        False     0.260000
        4782     0.260000        False     0.260000
        3481     0.261000        False     0.261000
        3500     0.263000        False     0.263000
        3487     0.264000        False     0.264000
        3505     0.265000        False     0.265000
        3504     0.266000        False     0.266000
        3489     0.268000        False     0.268000
        3495     0.269000        False     0.269000
        3539     0.270000        False     0.270000
        3499     0.275000        False     0.275000
        3484     0.276000        False     0.276000
        4942     0.277000        False     0.277000
        3503     0.278000        False     0.278000
        4780     0.280000        False     0.280000
        3485     0.282000        False     0.282000
        3498     0.283000        False     0.283000
        3488     0.287000        False     0.287000
        3486     0.293000        False     0.293000
        4777     0.295000        False     0.295000
        3176     0.300000         True     0.240515
        3427     0.320000        False     0.320000
        2923     0.350000        False     0.350000
        4018     0.350000        False     0.350000
        4556     0.353000        False     0.353000
        4541     0.360000        False     0.360000
        3339     0.370000        False     0.370000
        3532     0.370000        False     0.370000
        3884     0.377000        False     0.377000
        3991     0.398000        False     0.398000
        4492     0.400000        False     0.400000
        3879     0.401000        False     0.401000
        3998     0.407000        False     0.407000
        3886     0.409000        False     0.409000
        4559     0.413000        False     0.413000
        3327     0.430000        False     0.430000
        3883     0.439000        False     0.439000
        4558     0.442000        False     0.442000
        4590     0.444000        False     0.444000
        4195     0.454000        False     0.454000
        4003     0.456000        False     0.456000
        4518     0.463000        False     0.463000
        4202     0.464000        False     0.464000
        4564     0.466000        False     0.466000
        4489     0.470000        False     0.470000
        5141     0.470000        False     0.470000
        4536     0.482000        False     0.482000
        4501     0.490000        False     0.490000
        4475     0.493000        False     0.493000
        3192     0.500000        False     0.500000
        4386     0.500000        False     0.500000
        4477     0.503000        False     0.503000
        4533     0.509000        False     0.509000
        4491     0.510000        False     0.510000
        4473     0.514000        False     0.514000
        4557     0.519000        False     0.519000
        3328     0.520000        False     0.520000
        4500     0.520000        False     0.520000
        4540     0.520000        False     0.520000
        4526     0.522000        False     0.522000
        3990     0.533000        False     0.533000
        4582     0.537000        False     0.537000
        4486     0.550000        False     0.550000
        4668     0.550000        False     0.550000
        4194     0.551000        False     0.551000
        4524     0.555000        False     0.555000
        4499     0.560000        False     0.560000
        4197     0.579000        False     0.579000
        4576     0.589000        False     0.589000
        4387     0.600000        False     0.600000
        4543     0.601000        False     0.601000
        4488     0.620000        False     0.620000
        4511     0.620000        False     0.620000
        4201     0.631000        False     0.631000
        4019     0.635000        False     0.635000
        4527     0.639000        False     0.639000
        4198     0.639000        False     0.639000
        4596     0.641000        False     0.641000
        4534     0.647000        False     0.647000
        4537     0.651000        False     0.651000
        4196     0.651000        False     0.651000
        4555     0.663000        False     0.663000
        4068     0.675000        False     0.675000
        4592     0.683000        False     0.683000
        4530     0.684000        False     0.684000
        4539     0.688000        False     0.688000
        4490     0.690000        False     0.690000
        4000     0.696000        False     0.696000
        4510     0.700000        False     0.700000
        4594     0.706000        False     0.706000
        4516     0.710000        False     0.710000
        4200     0.715000        False     0.715000
        4575     0.717000        False     0.717000
        4519     0.720000        False     0.720000
        3887     0.722000        False     0.722000
        3994     0.726000        False     0.726000
        4544     0.728000        False     0.728000
        4525     0.731000        False     0.731000
        4553     0.733000        False     0.733000
        4579     0.737000        False     0.737000
        3329     0.740000        False     0.740000
        3882     0.741000        False     0.741000
        3885     0.745000        False     0.745000
        3880     0.746000        False     0.746000
        3330     0.760000        False     0.760000
        4521     0.766000        False     0.766000
        3997     0.777000        False     0.777000
        4017     0.778000        False     0.778000
        3731     0.800000        False     0.800000
        3878     0.808000        False     0.808000
        4498     0.810000        False     0.810000
        3889     0.812000        False     0.812000
        4515     0.830000        False     0.830000
        4563     0.838000        False     0.838000
        4584     0.849000        False     0.849000
        4216     0.861000        False     0.861000
        4571     0.863000        False     0.863000
        4199     0.869000        False     0.869000
        5139     0.870000        False     0.870000
        3336     0.880000        False     0.880000
        4554     0.880000        False     0.880000
        4508     0.890000        False     0.890000
        3404     0.910000        False     0.910000
        4497     0.910000        False     0.910000
        5208     0.930000        False     0.930000
        5240     0.930000        False     0.930000
        4480     0.939000        False     0.939000
        4581     0.948000        False     0.948000
        4512     0.960000        False     0.960000
        3572     0.971000        False     0.971000
        3566     0.975000        False     0.975000
        3301     1.000000        False     1.000000
        4493     1.000000        False     1.000000
        4355     1.000000        False     1.000000
        5133     1.010000        False     1.010000
        5214     1.020000        False     1.020000
        4160     1.023000        False     1.023000
        4552     1.025000        False     1.025000
        3881     1.032000        False     1.032000
        3888     1.042000        False     1.042000
        4069     1.059000        False     1.059000
        4193     1.071000        False     1.071000
        3571     1.073000        False     1.073000
        4010     1.090000        False     1.090000
        4513     1.090000        False     1.090000
        5135     1.090000        False     1.090000
        3569     1.091000        False     1.091000
        4520     1.091000        False     1.091000
        3429     1.100000        False     1.100000
        5299     1.100000        False     1.100000
        4729     1.106000        False     1.106000
        4601     1.111000        False     1.111000
        4535     1.121000        False     1.121000
        3570     1.125000        False     1.125000
        3410     1.130000        False     1.130000
        2738     1.139128        False     1.139128
        4007     1.149000        False     1.149000
        3568     1.167000        False     1.167000
        3026     1.170000        False     1.170000
        4588     1.180000        False     1.180000
        4495     1.180927        False     1.180927
        4572     1.198000        False     1.198000
        3992     1.199000        False     1.199000
        4363     1.200000        False     1.200000
        4479     1.202000        False     1.202000
        4551     1.203000        False     1.203000
        4712     1.207000        False     1.207000
        4713     1.207000        False     1.207000
        4485     1.210000        False     1.210000
        4004     1.234000        False     1.234000
        4514     1.250000        False     1.250000
        4472     1.254000        False     1.254000
        4002     1.257000        False     1.257000
        4522     1.259000        False     1.259000
        4586     1.260000        False     1.260000
        5117     1.280000        False     1.280000
        3717     1.300000        False     1.300000
        4587     1.304000        False     1.304000
        4507     1.310000        False     1.310000
        4529     1.315000        False     1.315000
        3553     1.320000        False     1.320000
        5034     1.320000        False     1.320000
        4598     1.338000        False     1.338000
        4686     1.347000        False     1.347000
        3039     1.350000        False     1.350000
